"number","name","cmt","desc","symbol","url","Latitude","Longitude"
5668,"Kuurna (Pielisjoki) ","Outhouse toilet, Landing stage,","hard flow","naturharbor",,"62.693333","29.898333"
4889,"Kuusikoisti ","Waste disposal,  Outhouse toilet, Campfire site,  Landing stage, Buoys, lodge   ","(PSS)","guestharbor","https://drive.google.com/open?id=15uTDxB1sR_8YFF_rA8ntWza1ZI6F0Tu5gg","62.775880","27.817389"
5055,"Kyhjönsaari ","Waste disposal,  Outhouse toilet,  Campfire site,  Landing stage, Buoys,",,"naturharbor",,"63.633333","27.166667"
4445,"Kylmäsaari","Outhouse toilet,  Barbecue shelter, Landing stage,  ","(PSS)","guestharbor","https://drive.google.com/open?id=1cbyNm7kIj3lxBCf9acw7WolLGiCz3EGJZQ","61.624417","28.252550"
5863,"Kynsisaari ","Waste disposal,  Outhouse toilet,  Campfire site,",,"naturharbor",,"63.383333","29.316667"
5060,"Kyrönniemi","Campfire site, Landing stage","Hiljaisuuen Keskus, Vanha Pappila","naturharbor",,"63.728333","27.036667"
4252,"Kyyhkylä",,,"pier",,"61.635448","27.291236"
4145,"Laajahiekka","Outhouse toilet,  Campfire site, (PSS)",,"naturharbor",,"61.376667","28.093333"
5436,"Laajakaarre ","Outhouse toilet,  Campfire site,  National park , mv-Kielto ",,"naturharbor",,"62.260000","28.856667"
,"Laakensaari",,,"naturharbor",,"62.465411","29.633645"
5365,"Laitasaari","Waste disposal,  Outhouse toilet,  Campfire site,",,"naturharbor",,"62.638702","28.836461"
5723,"Laitosaari Kolin","Outhouse toilet,  Campfire site  ","Kolin National park","naturharbor",,"63.045000","29.936667"
4284,"Lakeistenranta",,,"pier",,"61.600421","27.648378"
4081,"Lammassaari","Septic,",,"marina",,"61.210580","28.714202"
5716,"Läpikäytävä ","Waste disposal,  Outhouse toilet,  Campfire site,",,"naturharbor",,"63.080000","29.998333"
,"Lapinlahti",,,"pier",,"63.353757","27.374271"
5435,"Lapinniemi ","Outhouse toilet,  Campfire site","National park motorboat ban on","naturharbor",,"62.273333","28.813333"
4995,"Läpisaaret (Etelä-Kallavesi)","Waste disposal,  Outhouse toilet,  Shelter, Buoys,  ","(PSS) ","naturharbor",,"62.796920","27.790646"
4893,"Läpisaaret (Pohjois-Kallavesi)","Waste disposal,  Campfire site,  Outhouse toilet","(PSS) day use ","naturharbor",,"62.975000","27.498333"
4030,"Lappeenranta Kaupunginlahti","Information, Septic, Fuel, Showers,, Cafe,",,"marina","https://venelehti.fi/?satama=4030-lappeenranta-kaupunginlahti","61.067619","28.187029"
5158,"Lastukoski","Campfire site, Outhouse toilet,",,"naturharbor",,"63.201667","28.278333"
,"Laukansaari",,,"guestharbor",,"61.794712","28.844139"
4510,"Laukansaari (Lusto)",,,"pier",,"61.797267","29.303225"
,"Leppävirta","Fuel, Drinking water,",,"pier","https://drive.google.com/open?id=1Pepo_c-SSVOxV_OPOeJ7HFQVdnvSh-4oIw","62.489444","27.802963"
4846,"Leppävirta, Kalmalahti","Fuel for carrying","Lidl","marina","https://photos.google.com/share/AF1QipMBwRB5UnurPg5I0t-_BVvMbqoqhqn2dCCUfBRF8ojCo0PYwD3RUObTxhN4biKqOA/photo/AF1QipPlLttWqU8GAZb0-Zw-0Zw6G-BRNlhWu2_TEF-9?key=aXhxNEZBSWRjOE9sNHN3RUdmaUVjUFJfeTc5UE1n","62.488576","27.771463"
,"Leppävirta, laivalaituri","slip, wc","privat","pier","https://photos.google.com/share/AF1QipMBwRB5UnurPg5I0t-_BVvMbqoqhqn2dCCUfBRF8ojCo0PYwD3RUObTxhN4biKqOA/photo/AF1QipP3FETe5s-bJPB64neqbDFyyRjCEmhOh9vSZ64l?key=aXhxNEZBSWRjOE9sNHN3RUdmaUVjUFJfeTc5UE1n","62.487383","27.808027"
4380,"Liehtalanniemi","Waste disposal,  Outhouse toilet,  Campfire site","Museum Estate   (PSS/Puumalan kunta) signposts","museum_openair","https://drive.google.com/open?id=1mu2hzYKFRj2QfrwDkOd5Qa4u7MBUHWaPIg","61.461064","28.124029"
,"Lieksa","Aervice Fuel for carrying, Septic, Cottages, Slip","Nuseun of Pielinen","marina",,"63.309773","30.011818"
4346,"Lietveden silta","Cafe,",,"pier",,"61.550230","27.961660"
5058,"Liistelampi","Waste disposal, Outhouse toilet, Campfire site, Landing stage","shallow beach","naturharbor",,"63.700000","27.088333"
,"Liklamo",,,"guestharbor",,"63.250385","29.827861"
5745,"Likolahti ","Waste disposal, Outhouse toilet,  Campfire site,  National park","shallow beach","naturharbor",,"63.090000","29.836667"
4053,"Likosenlahti","Service, Septic, Cafe, Sauna,",,"marina",,"61.142603","28.491213"
